"Año","Tipo_delito","total","pob","por cada 1000"
2015,"Aborto",24,2858359,0.00839642606124703
2015,"Abuso de confianza",535,2858359,0.187170330948632
2015,"Abuso sexual",158,2858359,0.0552764715698763
2015,"Acoso sexual",118,2858359,0.0412824281344646
2015,"Allanamiento de morada",295,2858359,0.103206070336161
2015,"Amenazas",1928,2858359,0.674512893586845
2015,"Contra el medio ambiente",5,2858359,0.00174925542942646
2015,"Corrupción de menores",19,2858359,0.00664717063182057
2015,"Daño a la propiedad",1782,2858359,0.623434635047592
2015,"Delitos cometidos por servidores públicos",2,2858359,0.000699702171770586
2015,"Despojo",640,2858359,0.223904694966587
2015,"Electorales",0,2858359,0
2015,"Evasión de presos",0,2858359,0
2015,"Extorsión",42,2858359,0.0146937456071823
2015,"Falsedad",75,2858359,0.026238831441397
2015,"Falsificación",98,2858359,0.0342854064167587
2015,"Feminicidio",0,2858359,0
2015,"Fraude",898,2858359,0.314166275124993
2015,"Homicidio",651,2858359,0.227753056911326
2015,"Hostigamiento sexual",6,2858359,0.00209910651531176
2015,"Incesto",1,2858359,0.000349851085885293
2015,"Incumplimiento de obligaciones de asistencia familiar",633,2858359,0.22145573736539
2015,"Lesiones",3693,2858359,1.29200006017439
2015,"Narcomenudeo",111,2858359,0.0388334705332675
2015,"Otros delitos contra el patrimonio",7,2858359,0.00244895760119705
2015,"Otros delitos contra la familia",0,2858359,0
2015,"Otros delitos contra la sociedad",0,2858359,0
2015,"Otros delitos del Fuero Común",2281,2858359,0.798010326904353
2015,"Otros delitos que atentan contra la libertad personal",798,2858359,0.279181166536464
2015,"Otros delitos que atentan contra la libertad y la seguridad sexual",81,2858359,0.0283379379567087
2015,"Otros delitos que atentan contra la vida y la integridad corporal",92,2858359,0.032186299901447
2015,"Rapto",1,2858359,0.000349851085885293
2015,"Robo",9866,2858359,3.4516308133443
2015,"Secuestro",19,2858359,0.00664717063182057
2015,"Tráfico de menores",1,2858359,0.000349851085885293
2015,"Trata de personas",2,2858359,0.000699702171770586
2015,"Violación equiparada",0,2858359,0
2015,"Violación simple",348,2858359,0.121748177888082
2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,2858359,0
2015,"Violencia familiar",2294,2858359,0.802558391020862
2016,"Aborto",7,2858359,0.00244895760119705
2016,"Abuso de confianza",656,2858359,0.229502312340752
2016,"Abuso sexual",334,2858359,0.116850262685688
2016,"Acoso sexual",7,2858359,0.00244895760119705
2016,"Allanamiento de morada",257,2858359,0.0899117290725203
2016,"Amenazas",2486,2858359,0.869729799510838
2016,"Contra el medio ambiente",0,2858359,0
2016,"Corrupción de menores",19,2858359,0.00664717063182057
2016,"Daño a la propiedad",2892,2858359,1.01176934038027
2016,"Delitos cometidos por servidores públicos",1,2858359,0.000349851085885293
2016,"Despojo",714,2858359,0.249793675322099
2016,"Electorales",9,2858359,0.00314865977296764
2016,"Evasión de presos",1,2858359,0.000349851085885293
2016,"Extorsión",80,2858359,0.0279880868708234
2016,"Falsedad",117,2858359,0.0409325770485793
2016,"Falsificación",132,2858359,0.0461803433368587
2016,"Feminicidio",22,2858359,0.00769672388947644
2016,"Fraude",1207,2858359,0.422270260663549
2016,"Homicidio",653,2858359,0.228452759083096
2016,"Hostigamiento sexual",52,2858359,0.0181922564660352
2016,"Incesto",24,2858359,0.00839642606124703
2016,"Incumplimiento de obligaciones de asistencia familiar",731,2858359,0.255741143782149
2016,"Lesiones",4337,2858359,1.51730415948452
2016,"Narcomenudeo",187,2858359,0.0654221530605498
2016,"Otros delitos contra el patrimonio",0,2858359,0
2016,"Otros delitos contra la familia",1,2858359,0.000349851085885293
2016,"Otros delitos contra la sociedad",0,2858359,0
2016,"Otros delitos del Fuero Común",2150,2858359,0.75217983465338
2016,"Otros delitos que atentan contra la libertad personal",1379,2858359,0.482444647435819
2016,"Otros delitos que atentan contra la libertad y la seguridad sexual",53,2858359,0.0185421075519205
2016,"Otros delitos que atentan contra la vida y la integridad corporal",292,2858359,0.102156517078506
2016,"Rapto",1,2858359,0.000349851085885293
2016,"Robo",11403,2858359,3.98935193235
2016,"Secuestro",14,2858359,0.0048979152023941
2016,"Tráfico de menores",0,2858359,0
2016,"Trata de personas",8,2858359,0.00279880868708234
2016,"Violación equiparada",5,2858359,0.00174925542942646
2016,"Violación simple",445,2858359,0.155683733218955
2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,2858359,0
2016,"Violencia familiar",3078,2858359,1.07684164235493
2017,"Aborto",11,2858359,0.00384836194473822
2017,"Abuso de confianza",959,2858359,0.335507191363996
2017,"Abuso sexual",442,2858359,0.154634179961299
2017,"Acoso sexual",7,2858359,0.00244895760119705
2017,"Allanamiento de morada",309,2858359,0.108103985538556
2017,"Amenazas",3452,2858359,1.20768594847603
2017,"Contra el medio ambiente",0,2858359,0
2017,"Corrupción de menores",23,2858359,0.00804657497536174
2017,"Daño a la propiedad",3391,2858359,1.18634503223703
2017,"Delitos cometidos por servidores públicos",251,2858359,0.0878126225572085
2017,"Despojo",1099,2858359,0.384486343387937
2017,"Electorales",0,2858359,0
2017,"Evasión de presos",3,2858359,0.00104955325765588
2017,"Extorsión",133,2858359,0.046530194422744
2017,"Falsedad",133,2858359,0.046530194422744
2017,"Falsificación",293,2858359,0.102506368164391
2017,"Feminicidio",22,2858359,0.00769672388947644
2017,"Fraude",1766,2858359,0.617837017673427
2017,"Homicidio",700,2858359,0.244895760119705
2017,"Hostigamiento sexual",20,2858359,0.00699702171770586
2017,"Incesto",19,2858359,0.00664717063182057
2017,"Incumplimiento de obligaciones de asistencia familiar",886,2858359,0.30996806209437
2017,"Lesiones",6184,2858359,2.16347911511465
2017,"Narcomenudeo",256,2858359,0.089561877986635
2017,"Otros delitos contra el patrimonio",49,2858359,0.0171427032083794
2017,"Otros delitos contra la familia",1,2858359,0.000349851085885293
2017,"Otros delitos contra la sociedad",2,2858359,0.000699702171770586
2017,"Otros delitos del Fuero Común",2150,2858359,0.75217983465338
2017,"Otros delitos que atentan contra la libertad personal",1793,2858359,0.62728299699233
2017,"Otros delitos que atentan contra la libertad y la seguridad sexual",46,2858359,0.0160931499507235
2017,"Otros delitos que atentan contra la vida y la integridad corporal",159,2858359,0.0556263226557616
2017,"Rapto",3,2858359,0.00104955325765588
2017,"Robo",14400,2858359,5.03785563674822
2017,"Secuestro",21,2858359,0.00734687280359115
2017,"Tráfico de menores",0,2858359,0
2017,"Trata de personas",3,2858359,0.00104955325765588
2017,"Violación equiparada",0,2858359,0
2017,"Violación simple",560,2858359,0.195916608095764
2017,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,2858359,0
2017,"Violencia familiar",4417,2858359,1.54529224635534
2018,"Aborto",18,2858359,0.00629731954593527
2018,"Abuso de confianza",1244,2858359,0.435214750841304
2018,"Abuso sexual",514,2858359,0.179823458145041
2018,"Acoso sexual",13,2858359,0.00454806411650881
2018,"Allanamiento de morada",337,2858359,0.117899815943344
2018,"Amenazas",4087,2858359,1.42984138801319
2018,"Contra el medio ambiente",5,2858359,0.00174925542942646
2018,"Corrupción de menores",36,2858359,0.0125946390918705
2018,"Daño a la propiedad",3744,2858359,1.30984246555454
2018,"Delitos cometidos por servidores públicos",466,2858359,0.163030606022547
2018,"Despojo",1175,2858359,0.411075025915219
2018,"Electorales",39,2858359,0.0136441923495264
2018,"Evasión de presos",2,2858359,0.000699702171770586
2018,"Extorsión",142,2858359,0.0496788541957116
2018,"Falsedad",141,2858359,0.0493290031098263
2018,"Falsificación",307,2858359,0.107404283366785
2018,"Feminicidio",20,2858359,0.00699702171770586
2018,"Fraude",1886,2858359,0.659819147979662
2018,"Homicidio",733,2858359,0.25644084595392
2018,"Hostigamiento sexual",41,2858359,0.014343894521297
2018,"Incesto",0,2858359,0
2018,"Incumplimiento de obligaciones de asistencia familiar",884,2858359,0.309268359922599
2018,"Lesiones",7138,2858359,2.49723705104922
2018,"Narcomenudeo",270,2858359,0.0944597931890291
2018,"Otros delitos contra el patrimonio",189,2858359,0.0661218552323204
2018,"Otros delitos contra la familia",3,2858359,0.00104955325765588
2018,"Otros delitos contra la sociedad",29,2858359,0.0101456814906735
2018,"Otros delitos del Fuero Común",5115,2858359,1.78948830430327
2018,"Otros delitos que atentan contra la libertad personal",1941,2858359,0.679060957703354
2018,"Otros delitos que atentan contra la libertad y la seguridad sexual",86,2858359,0.0300871933861352
2018,"Otros delitos que atentan contra la vida y la integridad corporal",243,2858359,0.0850138138701262
2018,"Rapto",3,2858359,0.00104955325765588
2018,"Robo",14641,2858359,5.12216974844657
2018,"Secuestro",21,2858359,0.00734687280359115
2018,"Tráfico de menores",1,2858359,0.000349851085885293
2018,"Trata de personas",13,2858359,0.00454806411650881
2018,"Violación equiparada",2,2858359,0.000699702171770586
2018,"Violación simple",610,2858359,0.213409162390029
2018,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,2858359,0
2018,"Violencia familiar",5083,2858359,1.77829306955494
2019,"Aborto",15,2858359,0.00524776628827939
2019,"Abuso de confianza",767,2858359,0.26833578287402
2019,"Abuso sexual",703,2858359,0.245945313377361
2019,"Acoso sexual",4,2858359,0.00139940434354117
2019,"Allanamiento de morada",408,2858359,0.1427392430412
2019,"Amenazas",3713,2858359,1.29899708189209
2019,"Contra el medio ambiente",8,2858359,0.00279880868708234
2019,"Corrupción de menores",33,2858359,0.0115450858342147
2019,"Daño a la propiedad",3299,2858359,1.15415873233558
2019,"Delitos cometidos por servidores públicos",817,2858359,0.285828337168284
2019,"Despojo",1104,2858359,0.386235598817363
2019,"Electorales",8,2858359,0.00279880868708234
2019,"Evasión de presos",5,2858359,0.00174925542942646
2019,"Extorsión",210,2858359,0.0734687280359115
2019,"Falsedad",118,2858359,0.0412824281344646
2019,"Falsificación",253,2858359,0.0885123247289791
2019,"Feminicidio",20,2858359,0.00699702171770586
2019,"Fraude",1615,2858359,0.565009503704748
2019,"Homicidio",646,2858359,0.226003801481899
2019,"Hostigamiento sexual",56,2858359,0.0195916608095764
2019,"Incesto",1,2858359,0.000349851085885293
2019,"Incumplimiento de obligaciones de asistencia familiar",914,2858359,0.319763892499158
2019,"Lesiones",6214,2858359,2.17397464769121
2019,"Narcomenudeo",422,2858359,0.147637158243594
2019,"Otros delitos contra el patrimonio",210,2858359,0.0734687280359115
2019,"Otros delitos contra la familia",11,2858359,0.00384836194473822
2019,"Otros delitos contra la sociedad",0,2858359,0
2019,"Otros delitos del Fuero Común",4746,2858359,1.6603932536116
2019,"Otros delitos que atentan contra la libertad personal",1762,2858359,0.616437613329886
2019,"Otros delitos que atentan contra la libertad y la seguridad sexual",80,2858359,0.0279880868708234
2019,"Otros delitos que atentan contra la vida y la integridad corporal",340,2858359,0.118949369201
2019,"Rapto",6,2858359,0.00209910651531176
2019,"Robo",14873,2858359,5.20333520037196
2019,"Secuestro",30,2858359,0.0104955325765588
2019,"Tráfico de menores",1,2858359,0.000349851085885293
2019,"Trata de personas",14,2858359,0.0048979152023941
2019,"Violación equiparada",0,2858359,0
2019,"Violación simple",705,2858359,0.246645015549132
2019,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,2858359,0
2019,"Violencia familiar",5619,2858359,1.96581325158946
2020,"Aborto",23,3082841,0.00746065074390797
2020,"Abuso de confianza",450,3082841,0.145969253685156
2020,"Abuso sexual",706,3082841,0.229009540226045
2020,"Acoso sexual",0,3082841,0
2020,"Allanamiento de morada",250,3082841,0.0810940298250867
2020,"Amenazas",2711,3082841,0.87938365942324
2020,"Contra el medio ambiente",1,3082841,0.000324376119300347
2020,"Corrupción de menores",29,3082841,0.00940690745971005
2020,"Daño a la propiedad",2243,3082841,0.727575635590678
2020,"Delitos cometidos por servidores públicos",444,3082841,0.144022996969354
2020,"Despojo",778,3082841,0.25236462081567
2020,"Electorales",307,3082841,0.0995834686252064
2020,"Evasión de presos",5,3082841,0.00162188059650173
2020,"Extorsión",133,3082841,0.0431420238669461
2020,"Falsedad",65,3082841,0.0210844477545225
2020,"Falsificación",164,3082841,0.0531976835652569
2020,"Feminicidio",19,3082841,0.00616314626670659
2020,"Fraude",1163,3082841,0.377249426746303
2020,"Homicidio",539,3082841,0.174838728302887
2020,"Hostigamiento sexual",56,3082841,0.0181650626808194
2020,"Incesto",0,3082841,0
2020,"Incumplimiento de obligaciones de asistencia familiar",607,3082841,0.19689630441531
2020,"Lesiones",5592,3082841,1.81391125912754
2020,"Narcomenudeo",363,3082841,0.117748531306026
2020,"Otros delitos contra el patrimonio",146,3082841,0.0473589134178506
2020,"Otros delitos contra la familia",5,3082841,0.00162188059650173
2020,"Otros delitos contra la sociedad",13,3082841,0.00421688955090451
2020,"Otros delitos del Fuero Común",4299,3082841,1.39449293687219
2020,"Otros delitos que atentan contra la libertad personal",1753,3082841,0.568631337133508
2020,"Otros delitos que atentan contra la libertad y la seguridad sexual",42,3082841,0.0136237970106146
2020,"Otros delitos que atentan contra la vida y la integridad corporal",301,3082841,0.0976372119094043
2020,"Rapto",5,3082841,0.00162188059650173
2020,"Robo",11588,3082841,3.75887047045242
2020,"Secuestro",22,3082841,0.00713627462460763
2020,"Tráfico de menores",1,3082841,0.000324376119300347
2020,"Trata de personas",9,3082841,0.00291938507370312
2020,"Violación equiparada",334,3082841,0.108341623846316
2020,"Violación simple",370,3082841,0.120019164141128
2020,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,3082841,0
2020,"Violencia familiar",5724,3082841,1.85672890687518
2021,"Aborto",19,3082841,0.00616314626670659
2021,"Abuso de confianza",445,3082841,0.144347373088654
2021,"Abuso sexual",655,3082841,0.212466358141727
2021,"Acoso sexual",0,3082841,0
2021,"Allanamiento de morada",286,3082841,0.0927715701198991
2021,"Amenazas",2301,3082841,0.746389450510098
2021,"Contra el medio ambiente",0,3082841,0
2021,"Corrupción de menores",25,3082841,0.00810940298250867
2021,"Daño a la propiedad",2281,3082841,0.739901928124091
2021,"Delitos cometidos por servidores públicos",410,3082841,0.132994208913142
2021,"Despojo",839,3082841,0.272151564092991
2021,"Electorales",73,3082841,0.0236794567089253
2021,"Evasión de presos",4,3082841,0.00129750447720139
2021,"Extorsión",108,3082841,0.0350326208844374
2021,"Falsedad",87,3082841,0.0282207223791302
2021,"Falsificación",193,3082841,0.0626045910249669
2021,"Feminicidio",21,3082841,0.00681189850530728
2021,"Fraude",1402,3082841,0.454775319259086
2021,"Homicidio",530,3082841,0.171919343229184
2021,"Hostigamiento sexual",81,3082841,0.0262744656633281
2021,"Incesto",0,3082841,0
2021,"Incumplimiento de obligaciones de asistencia familiar",788,3082841,0.255608382008673
2021,"Lesiones",5446,3082841,1.76655234570969
2021,"Narcomenudeo",786,3082841,0.254959629770072
2021,"Otros delitos contra el patrimonio",151,3082841,0.0489807940143523
2021,"Otros delitos contra la familia",7,3082841,0.00227063283510243
2021,"Otros delitos contra la sociedad",22,3082841,0.00713627462460763
2021,"Otros delitos del Fuero Común",10109,3082841,3.2791181900072
2021,"Otros delitos que atentan contra la libertad personal",1632,3082841,0.529381826698166
2021,"Otros delitos que atentan contra la libertad y la seguridad sexual",159,3082841,0.0515758029687551
2021,"Otros delitos que atentan contra la vida y la integridad corporal",158,3082841,0.0512514268494548
2021,"Rapto",1,3082841,0.000324376119300347
2021,"Robo",10774,3082841,3.49482830934194
2021,"Secuestro",28,3082841,0.00908253134040971
2021,"Tráfico de menores",2,3082841,0.000648752238600693
2021,"Trata de personas",10,3082841,0.00324376119300347
2021,"Violación equiparada",367,3082841,0.119046035783227
2021,"Violación simple",394,3082841,0.127804191004337
2021,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,3082841,0
2021,"Violencia familiar",5870,3082841,1.90408782029303
2022,"Aborto",18,3082841,0.00583877014740624
2022,"Abuso de confianza",466,3082841,0.151159271593962
2022,"Abuso sexual",673,3082841,0.218305128289133
2022,"Acoso sexual",1,3082841,0.000324376119300347
2022,"Allanamiento de morada",271,3082841,0.0879059283303939
2022,"Amenazas",3034,3082841,0.984157145957252
2022,"Contra el medio ambiente",0,3082841,0
2022,"Corrupción de menores",42,3082841,0.0136237970106146
2022,"Daño a la propiedad",2679,3082841,0.869003623605629
2022,"Delitos cometidos por servidores públicos",541,3082841,0.175487480541488
2022,"Despojo",923,3082841,0.29939915811422
2022,"Electorales",131,3082841,0.0424932716283454
2022,"Evasión de presos",1,3082841,0.000324376119300347
2022,"Extorsión",232,3082841,0.0752552596776804
2022,"Falsedad",145,3082841,0.0470345372985503
2022,"Falsificación",215,3082841,0.0697408656495745
2022,"Feminicidio",19,3082841,0.00616314626670659
2022,"Fraude",1363,3082841,0.442124650606373
2022,"Homicidio",545,3082841,0.176784985018689
2022,"Hostigamiento sexual",108,3082841,0.0350326208844374
2022,"Incesto",0,3082841,0
2022,"Incumplimiento de obligaciones de asistencia familiar",909,3082841,0.294857892444015
2022,"Lesiones",6207,3082841,2.01340257249725
2022,"Narcomenudeo",485,3082841,0.157322417860668
2022,"Otros delitos contra el patrimonio",184,3082841,0.0596852059512638
2022,"Otros delitos contra la familia",2,3082841,0.000648752238600693
2022,"Otros delitos contra la sociedad",13,3082841,0.00421688955090451
2022,"Otros delitos del Fuero Común",10438,3082841,3.38583793325702
2022,"Otros delitos que atentan contra la libertad personal",1805,3082841,0.585498895337126
2022,"Otros delitos que atentan contra la libertad y la seguridad sexual",336,3082841,0.108990376084916
2022,"Otros delitos que atentan contra la vida y la integridad corporal",185,3082841,0.0600095820705641
2022,"Rapto",1,3082841,0.000324376119300347
2022,"Robo",12607,3082841,4.08940973601947
2022,"Secuestro",15,3082841,0.0048656417895052
2022,"Tráfico de menores",0,3082841,0
2022,"Trata de personas",13,3082841,0.00421688955090451
2022,"Violación equiparada",543,3082841,0.176136232780088
2022,"Violación simple",509,3082841,0.165107444723876
2022,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,3082841,0
2022,"Violencia familiar",6929,3082841,2.2476021306321
2023,"Aborto",12,3082841,0.00389251343160416
2023,"Abuso de confianza",417,3082841,0.135264841748245
2023,"Abuso sexual",756,3082841,0.245228346191062
2023,"Acoso sexual",4,3082841,0.00129750447720139
2023,"Allanamiento de morada",278,3082841,0.0901765611654964
2023,"Amenazas",3309,3082841,1.07336057876485
2023,"Contra el medio ambiente",7,3082841,0.00227063283510243
2023,"Corrupción de menores",61,3082841,0.0197869432773211
2023,"Daño a la propiedad",2749,3082841,0.891709951956653
2023,"Delitos cometidos por servidores públicos",507,3082841,0.164458692485276
2023,"Despojo",838,3082841,0.271827187973691
2023,"Electorales",37,3082841,0.0120019164141128
2023,"Evasión de presos",4,3082841,0.00129750447720139
2023,"Extorsión",365,3082841,0.118397283544627
2023,"Falsedad",161,3082841,0.0522245552073558
2023,"Falsificación",259,3082841,0.0840134148987898
2023,"Feminicidio",20,3082841,0.00648752238600693
2023,"Fraude",2003,3082841,0.649725366958594
2023,"Homicidio",379,3082841,0.122938549214831
2023,"Hostigamiento sexual",211,3082841,0.0684433611723732
2023,"Incesto",0,3082841,0
2023,"Incumplimiento de obligaciones de asistencia familiar",861,3082841,0.279287838717598
2023,"Lesiones",6237,3082841,2.02313385607626
2023,"Narcomenudeo",580,3082841,0.188138149194201
2023,"Otros delitos contra el patrimonio",513,3082841,0.166404949201078
2023,"Otros delitos contra la familia",3,3082841,0.00097312835790104
2023,"Otros delitos contra la sociedad",23,3082841,0.00746065074390797
2023,"Otros delitos del Fuero Común",13179,3082841,4.27495287625927
2023,"Otros delitos que atentan contra la libertad personal",1839,3082841,0.596527683393338
2023,"Otros delitos que atentan contra la libertad y la seguridad sexual",369,3082841,0.119694788021828
2023,"Otros delitos que atentan contra la vida y la integridad corporal",198,3082841,0.0642264716214686
2023,"Rapto",1,3082841,0.000324376119300347
2023,"Robo",12455,3082841,4.04010456588582
2023,"Secuestro",15,3082841,0.0048656417895052
2023,"Tráfico de menores",0,3082841,0
2023,"Trata de personas",14,3082841,0.00454126567020485
2023,"Violación equiparada",530,3082841,0.171919343229184
2023,"Violación simple",494,3082841,0.160241802934371
2023,"Violencia de género en todas sus modalidades distinta a la violencia familiar",2,3082841,0.000648752238600693
2023,"Violencia familiar",7535,3082841,2.44417405892811
2024,"Aborto",9,3082841,0.00291938507370312
2024,"Abuso de confianza",298,3082841,0.0966640835515033
2024,"Abuso sexual",672,3082841,0.217980752169833
2024,"Acoso sexual",2,3082841,0.000648752238600693
2024,"Allanamiento de morada",240,3082841,0.0778502686320832
2024,"Amenazas",3218,3082841,1.04384235190852
2024,"Contra el medio ambiente",12,3082841,0.00389251343160416
2024,"Corrupción de menores",70,3082841,0.0227063283510243
2024,"Daño a la propiedad",2660,3082841,0.862840477338922
2024,"Delitos cometidos por servidores públicos",527,3082841,0.170946214871283
2024,"Despojo",696,3082841,0.225765779033041
2024,"Electorales",198,3082841,0.0642264716214686
2024,"Evasión de presos",1,3082841,0.000324376119300347
2024,"Extorsión",311,3082841,0.100880973102408
2024,"Falsedad",146,3082841,0.0473589134178506
2024,"Falsificación",178,3082841,0.0577389492354617
2024,"Feminicidio",17,3082841,0.00551439402810589
2024,"Fraude",1416,3082841,0.459316584929291
2024,"Homicidio",428,3082841,0.138832979060548
2024,"Hostigamiento sexual",175,3082841,0.0567658208775607
2024,"Incesto",0,3082841,0
2024,"Incumplimiento de obligaciones de asistencia familiar",762,3082841,0.247174602906864
2024,"Lesiones",5346,3082841,1.73411473377965
2024,"Narcomenudeo",635,3082841,0.20597883575572
2024,"Otros delitos contra el patrimonio",417,3082841,0.135264841748245
2024,"Otros delitos contra la familia",3,3082841,0.00097312835790104
2024,"Otros delitos contra la sociedad",14,3082841,0.00454126567020485
2024,"Otros delitos del Fuero Común",14774,3082841,4.79233278654332
2024,"Otros delitos que atentan contra la libertad personal",1724,3082841,0.559224429673798
2024,"Otros delitos que atentan contra la libertad y la seguridad sexual",330,3082841,0.107044119369114
2024,"Otros delitos que atentan contra la vida y la integridad corporal",155,3082841,0.0502782984915537
2024,"Rapto",1,3082841,0.000324376119300347
2024,"Robo",11349,3082841,3.68134457793963
2024,"Secuestro",14,3082841,0.00454126567020485
2024,"Tráfico de menores",0,3082841,0
2024,"Trata de personas",9,3082841,0.00291938507370312
2024,"Violación equiparada",417,3082841,0.135264841748245
2024,"Violación simple",497,3082841,0.161214931292272
2024,"Violencia de género en todas sus modalidades distinta a la violencia familiar",6,3082841,0.00194625671580208
2024,"Violencia familiar",6802,3082841,2.20640636348096